time,open,high,low,close,volume,volCcy
1623903300000,2437.68,2440.51,2437.68,2439.94,35.391982,86327.623561
1623903360000,2439.69,2439.69,2437.07,2437.77,10.999783,26819.777256
1623903420000,2437.94,2438,2437.55,2437.56,8.393915,20462.5871
1623903480000,2437.55,2437.56,2436,2436.03,28.274212,68905.60997
1623903540000,2436.04,2436.9,2436.04,2436.48,19.374352,47203.002371
1623903600000,2436.48,2438.36,2436.17,2438.36,54.159154,131982.220731
1623903660000,2438.37,2439.49,2437.31,2437.31,29.875865,72865.687976
1623903720000,2436.93,2438.91,2436.45,2438.43,13.996549,34112.327111
1623903780000,2438.43,2438.43,2437.42,2437.43,15.277839,37243.815317
1623903840000,2437.43,2439.6,2436.94,2437.13,42.404721,103392.408568
1623903900000,2436.83,2438.65,2436.83,2438.57,21.569941,52579.268648
1623903960000,2438.56,2438.9,2437.53,2438,84.680467,206468.864306
1623904020000,2437.95,2439.16,2437.95,2439.16,74.610502,181914.438051
1623904080000,2439.19,2439.9,2438.36,2438.45,70.014632,170754.767813
1623904140000,2438.45,2438.61,2434.66,2434.67,101.025715,246286.764652
1623904200000,2434.67,2437.13,2434.67,2436.74,73.590509,179284.736748
1623904260000,2437.13,2437.53,2437.13,2437.5,11.236278,27388.493905
1623904320000,2437.49,2437.5,2436.28,2436.28,4.819153,11744.696095
1623904380000,2436.3,2436.74,2435.31,2435.62,25.361375,61784.353295
1623904440000,2435.62,2438.5,2435.62,2438.04,35.064617,85472.529426
1623904500000,2438.05,2438.99,2437.06,2438.96,74.463037,181534.519689
1623904560000,2438.96,2441.89,2436.29,2436.4,186.75163,455623.042494
1623904620000,2436.15,2436.15,2432.84,2432.84,32.318287,78693.68265
1623904680000,2432.83,2433.31,2431.49,2433.17,19.974078,48581.88613
1623904740000,2433.17,2433.18,2432.01,2432.27,16.203717,39418.979108
1623904800000,2432,2432,2428.3,2428.3,61.981413,150614.443513
1623904860000,2428.78,2429.64,2428,2428.8,60.360071,146590.98962
1623904920000,2428.8,2428.8,2426.6,2427.62,21.967059,53320.554032
1623904980000,2427.77,2427.77,2425.56,2426.34,33.180756,80506.779298
1623905040000,2425.77,2426.74,2422,2422.6,78.171295,189430.387956
1623905100000,2422.55,2422.73,2420.95,2422.38,194.431246,470892.905352
1623905160000,2422.39,2425.89,2422.38,2425.89,63.552956,153998.612923
1623905220000,2425.97,2425.97,2423.94,2424.2,31.791816,77112.922113
1623905280000,2424.21,2425.6,2423.48,2425.6,28.71392,69616.380012
1623905340000,2425.6,2425.61,2424.31,2424.32,23.223639,56319.944023
1623905400000,2424.32,2426.04,2424.32,2426.04,8.101104,19649.6213
1623905460000,2426.8,2427.1,2426.67,2427.1,2.670984,6482.076463
1623905520000,2427.14,2428.01,2426.81,2426.81,13.549301,32889.092883
1623905580000,2426.82,2426.82,2423.16,2423.57,18.852452,45710.585978
1623905640000,2423.52,2424.7,2422.34,2424.45,8.526193,20666.702529
1623905700000,2424.54,2425.49,2424.45,2425.49,24.104245,58456.60866
1623905760000,2425.49,2427.28,2425.49,2426.82,18.951811,45992.513821
1623905820000,2426.82,2426.82,2424.38,2424.38,11.841295,28732.254449
1623905880000,2424.38,2426.79,2424.38,2426.47,5.996032,14540.843531
1623905940000,2426.49,2426.52,2426.04,2426.04,14.03989,34063.745028
1623906000000,2425.25,2429.51,2425.25,2429.51,13.333506,32370.928737
1623906060000,2429.52,2430.99,2429.3,2430.52,17.779805,43216.74792
1623906120000,2430.89,2431.99,2429.53,2429.53,26.109993,63478.018238
1623906180000,2429.53,2429.54,2425.01,2426,31.871731,77300.772507
1623906240000,2426.01,2426.51,2420.01,2421.85,78.607041,190544.463051
1623906300000,2421.64,2422.69,2415.89,2415.89,122.086335,295291.57019
1623906360000,2415.89,2417.09,2412.8,2415.17,52.562028,126945.11108
1623906420000,2415.14,2418.44,2415,2417.99,27.871039,67353.593295
1623906480000,2417.99,2417.99,2412.45,2415.68,58.981237,142411.597743
1623906540000,2415.79,2416.95,2415.28,2415.98,9.31873,22515.578868
1623906600000,2415.99,2417.91,2415.99,2417.91,12.288124,29693.514677
1623906660000,2417.93,2418.4,2415.71,2418.11,20.529431,49630.880532
1623906720000,2418.38,2419,2418.38,2418.99,20.683365,50032.77579
1623906780000,2419,2420.04,2417.7,2419.52,59.289883,143424.001569
1623906840000,2419.53,2422.99,2419.53,2421.13,16.16832,39151.216672
1623906900000,2420.73,2423.48,2420.73,2423.48,7.508729,18187.733228
1623906960000,2423.47,2424.36,2422.48,2423.36,46.539694,112786.238918
1623907020000,2423.58,2425.01,2421.6,2422.04,7.681607,18615.792868
1623907080000,2422.04,2422.04,2417.17,2418.39,15.614393,37763.776151
1623907140000,2418.47,2418.47,2415.06,2415.48,8.046049,19438.57572
1623907200000,2415.9,2419.64,2415.9,2418.97,22.607573,54679.68761
1623907260000,2419.95,2419.95,2417.1,2417.1,4.760317,11513.497102
1623907320000,2417.72,2418.69,2417.72,2418.31,4.295198,10386.21966
1623907380000,2418.2,2418.28,2416.21,2416.84,29.197916,70566.252981
1623907440000,2416.96,2418.19,2416.96,2417.21,4.601041,11124.498982
1623907500000,2417.24,2419.19,2417.24,2418.51,6.221051,15044.899769
1623907560000,2418.78,2419.97,2418.78,2419.61,11.190658,27077.911044
1623907620000,2419.67,2421.99,2419.67,2421.99,13.772231,33335.392649
1623907680000,2422,2422,2420.82,2420.86,35.672157,86378.931043
1623907740000,2421.8,2421.8,2419.71,2420.28,14.442366,34954.7486
1623907800000,2420.6,2423.97,2420.6,2423.97,11.863634,28741.894715
1623907860000,2423.97,2424.35,2422.06,2423.28,12.395928,30042.632858
1623907920000,2423.29,2425.19,2422.79,2423.67,9.361593,22690.962002
1623907980000,2424.36,2426.26,2423.96,2424.66,17.682154,42889.481604
1623908040000,2425.09,2425.61,2422.86,2422.86,3.950993,9578.721143
1623908100000,2422.86,2424.39,2422.63,2424.32,11.610231,28137.185938
1623908160000,2424.51,2426.16,2424.51,2425.22,2.000254,4851.509994
1623908220000,2425.21,2426.39,2424.88,2425.25,14.597812,35409.063578
1623908280000,2425.24,2425.24,2423.19,2423.68,4.113838,9972.246331
1623908340000,2423.7,2423.7,2420.99,2421.23,9.299953,22524.460502
1623908400000,2420.94,2421.4,2420.07,2420.53,8.141235,19707.071517
1623908460000,2420.21,2421.15,2419.51,2419.51,8.532971,20654.348261
1623908520000,2419,2419,2416.59,2417.19,20.674368,49980.661558
1623908580000,2417.38,2418.77,2417.38,2418.77,11.73449,28375.862225
1623908640000,2418.8,2420.53,2418.8,2420.53,11.186482,27066.639711
1623908700000,2420.59,2420.99,2419.6,2419.6,13.538104,32772.259245
1623908760000,2419.6,2420.65,2418.75,2419.1,14.407696,34863.105082
1623908820000,2419.05,2420.75,2419.05,2420.75,3.448411,8344.736711
1623908880000,2420.75,2423.23,2420.75,2423.23,16.980952,41135.085692
1623908940000,2423.23,2424.71,2422.4,2423.39,28.627849,69385.462229
1623909000000,2423.71,2424,2420.01,2422.45,46.446139,112456.975313
1623909060000,2422.45,2423.97,2421.71,2423.62,85.352846,206828.311972
1623909120000,2423.31,2423.59,2422.43,2422.76,9.668146,23430.475064
1623909180000,2422.46,2422.46,2420.09,2420.11,13.541517,32783.013992
1623909240000,2420.2,2421.96,2420.2,2421.8,3.81783,9243.390998
